5,2,0,0.000272633,0.00025492
6,2,0,0.000378943,0.00036122
7,2,0,0.000674381,0.000657666
8,2,0,0.000856754,0.000840151
9,2,0,0.003258134,0.003242401
10,2,0,0.017501459,0.017482198
11,2,0,0.067242685,0.067225841
12,2,0,0.265165487,0.265148543
13,2,1,0.56682951,0.566812706
4,3,0,0.000262668,0.000242804
5,3,0,0.00032976,0.00031015
6,3,0,0.000408588,0.000390241
7,3,0,0.000678381,0.000661066
8,3,0,0.000827019,0.000810372
9,3,0,0.00172176,0.001706087
10,3,0,0.007803054,0.007787845
11,3,0,0.061886901,0.061872641
12,3,0,0.251996828,0.251981589
13,3,1,0.543920795,0.543911431
4,4,0,0.000202174,0.00019392
5,4,0,0.000261982,0.000253964
6,4,0,0.000415142,0.000407111
7,4,0,0.000725662,0.000713442
8,4,0,0.000595466,0.00057804
9,4,0,0.001720564,0.001709137
10,4,0,0.007648366,0.007636855
11,4,0,0.049044315,0.049033074
12,4,0,0.228835643,0.228824304
13,4,1,0.589808378,0.589792298
4,5,0,0.000276204,0.000268004
5,5,0,0.000339449,0.00033003
6,5,0,0.000454617,0.000446383
7,5,0,0.000784338,0.000776146
8,5,0,0.000927166,0.000918994
9,5,0,0.003717529,0.003709291
10,5,0,0.007844646,0.00783633
11,5,0,0.039641693,0.039633513
12,5,0,0.238426263,0.238418083
13,5,1,0.61881241,0.618794939
4,6,0,0.000280448,0.000266872
5,6,0,0.000371221,0.000357911
6,6,0,0.000422655,0.000409315
7,6,0,0.000673507,0.00066129
8,6,0,0.000628282,0.000616063
9,6,0,0.001841348,0.001828879
10,6,0,0.007874656,0.007862632
11,6,0,0.041898508,0.041884462
12,6,0,0.221741048,0.221727786
13,6,1,0.560917232,0.560907879
4,7,0,0.00029392,0.000280665
5,7,0,0.000436995,0.000423887
6,7,0,0.000488239,0.000474914
7,7,0,0.000913097,0.000901044
8,7,0,0.000548373,0.000536388
9,7,0,0.001957916,0.001945884
10,7,0,0.013936988,0.013921457
11,7,0,0.058953259,0.058939032
12,7,0,0.221713349,0.221704578
13,7,1,0.590924793,0.590916687
4,8,0,0.000447355,0.000430748
5,8,0,0.000432119,0.000416456
6,8,0,0.000643447,0.000627779
7,8,0,0.00095907,0.000942623
8,8,0,0.000614417,0.000598877
9,8,0,0.002192077,0.00217717
10,8,0,0.008169992,0.008152364
11,8,0,0.039629169,0.039612596
12,8,0,0.221851776,0.221830594
13,8,1,0.581404806,0.581385152
4,0,0,3.7202e-05,2.8859e-05
5,0,0,4.0895e-05,3.2888e-05
6,0,0,5.614e-05,4.7992e-05
7,0,0,0.000118625,0.000110523
8,0,0,0.000388718,0.0003806
9,0,0,0.001707613,0.001699388
10,0,0,0.007856125,0.007847893
11,0,0,0.040020818,0.040012744
12,0,0,0.224946645,0.224938546
13,0,1,0.356053819,0.356045763
4,1,0,4.899e-05,4.1051e-05
5,1,0,5.4672e-05,4.6584e-05
6,1,0,8.1183e-05,7.3149e-05
7,1,0,0.00015657,0.000148329
8,1,0,0.000374282,0.000366093
9,1,0,0.001629776,0.001621145
10,1,0,0.007552332,0.0075442
11,1,0,0.039160556,0.039152378
12,1,0,0.221304817,0.221296693
13,1,1,0.584699532,0.584691396
4,2,0,0.000175525,0.000167391
5,2,0,0.000223908,0.000212868
6,2,0,0.000250415,0.000242005
7,2,0,0.000551368,0.000542952
8,2,0,0.000446162,0.000437715
9,2,0,0.001669262,0.001660479
10,2,0,0.007687408,0.007678434
11,2,0,0.039218942,0.039210156
12,2,0,0.221512848,0.221504223
13,2,1,0.584841612,0.58482015
4,3,0,0.000268946,0.000249248
5,3,0,0.000264177,0.00024568
6,3,0,0.00037851,0.000361163
7,3,0,0.000698421,0.000681066
8,3,0,0.000504412,0.000487901
9,3,0,0.00308831,0.003072852
10,3,0,0.007739033,0.007723293
11,3,0,0.039351441,0.039342849
